machines;jobs;heuristic_time;total_time;gap;nbeb;opt;ub
3;40;10;11;0;0;54635;151097
4;50;17;18;0;0;67473;245449
3;50;16;22;0;0;654375;1819727
4;40;11;12;0;0;43073;153173
3;30;6;6;0;0;32010;88889
4;20;2;2;0;0;12485;40584
3;40;10;13;0;0;375682;1029430
5;50;21;24;0;0;350430;1516219
4;40;11;12;0;0;42211;149860
5;20;2;3;0;0;11617;47119
5;40;12;12;0;0;34754;155424
4;30;6;7;0;0;118236;384050
5;20;2;2;0;0;11742;44386
3;50;17;17;0;0;61469;172093
5;50;18;19;0;0;44937;197303
3;50;16;23;0;0;633169;1762830
4;20;2;3;0;0;78620;239028
3;40;11;12;0;0;56179;159135
4;40;12;15;0;0;339873;1196925
5;50;19;29;0;0;391305;1694794
5;50;19;20;0;0;50934;232153
3;50;17;23;0;0;649343;1809981
4;20;2;3;0;1;11742;37576
4;50;18;19;0;0;59224;221171
3;50;18;19;0;0;71938;201836
5;20;2;3;0;0;81749;301647
3;50;17;19;0;0;83435;238973
4;20;2;3;0;0;9376;30082
5;50;20;20;0;0;55894;246966
4;30;6;6;0;0;27513;94741
5;30;7;7;0;0;20334;87764
4;30;6;6;0;0;18203;61899
5;20;2;3;0;0;101919;375223
5;50;18;19;0;0;50582;222182
5;30;6;8;0;7;20486;88712
3;30;6;8;0;0;367337;991168
4;30;6;6;0;0;19273;65423
4;30;7;7;0;0;20200;68180
5;20;2;3;0;0;80613;296781
4;30;6;6;0;0;23511;84113
4;40;11;11;0;0;45246;161041
3;50;17;17;0;0;101027;285530
5;20;2;3;0;0;9705;36680
5;40;11;12;0;0;37244;166844
3;50;17;19;0;0;84895;243296
5;20;2;2;0;0;8475;30626
5;50;19;19;0;0;55869;246421
4;50;21;22;0;0;54255;196333
3;20;3;3;0;0;12753;32599
5;40;14;14;0;0;32706;139203
5;50;21;25;0;0;443572;1938801
5;20;3;4;0;0;85844;319663
4;40;12;13;0;0;41867;149391
4;40;13;16;0;0;317447;1121866
3;50;18;19;0;0;84988;243349
3;20;2;2;0;0;13734;36965
4;50;20;26;0;0;492027;1765718
3;40;12;13;0;0;54342;153927
5;30;7;8;0;0;21792;94078
4;50;19;21;0;0;71655;267720
4;30;7;7;0;0;27048;93046
5;50;22;24;0;0;46644;212159
3;50;18;21;0;0;81464;233132
4;50;19;21;0;0;67771;252993
5;40;14;18;0;0;276127;1158108
3;40;11;12;0;0;55548;157204
4;40;12;14;0;0;215936;749300
4;30;7;10;0;0;249992;853151
5;50;21;23;0;0;49788;227009
5;50;21;22;0;0;56637;250267
5;20;3;3;0;0;9764;35907
3;20;3;3;0;0;14287;38402
4;50;20;25;0;0;438705;1566944
5;50;20;21;0;0;51114;232523
3;20;2;2;0;0;16992;43861
4;40;12;15;0;0;258721;891754
3;30;6;6;0;0;32628;88181
4;20;3;3;0;0;10694;36490
3;50;17;18;0;0;88068;247950
3;20;2;2;0;0;16343;44066
3;20;2;2;0;0;15270;41096
